n,real,imag
5,-0.50000,-0.50000
5,-0.50000,0.50000
7,-0.70665,-0.54102
7,-0.70665,0.54102
7,-0.29335,-0.54102
7,-0.29335,0.54102
9,-0.83274,-0.51286
9,-0.83274,0.51286
9,-0.50000,-0.64234
9,-0.50000,0.64234
9,-0.16726,-0.51286
9,-0.16726,0.51286
11,-0.90900,-0.47063
11,-0.90900,0.47063
11,-0.65055,-0.65644
11,-0.65055,0.65644
11,-0.34945,-0.65644
11,-0.34945,0.65644
11,-0.09100,-0.47063
11,-0.09100,0.47063
13,-0.95632,-0.42984
13,-0.95632,0.42984
13,-0.75869,-0.63824
13,-0.75869,0.63824
13,-0.50000,-0.70493
13,-0.50000,0.70493
13,-0.24131,-0.63824
13,-0.24131,0.63824
13,-0.04368,-0.42984
13,-0.04368,0.42984
15,-0.98674,-0.39415
15,-0.98674,0.39415
15,-0.83663,-0.60813
15,-0.83663,0.60813
15,-0.61827,-0.71224
15,-0.61827,0.71224
15,-0.38173,-0.71224
15,-0.38173,0.71224
15,-0.16337,-0.60813
15,-0.16337,0.60813
15,-0.01326,-0.39415
15,-0.01326,0.39415
17,-1.00699,-0.36377
17,-1.00699,0.36377
17,-0.89338,-0.57486
17,-0.89338,0.57486
17,-0.71045,-0.69983
17,-0.71045,0.69983
17,-0.50000,-0.74107
17,-0.50000,0.74107
17,-0.28955,-0.69983
17,-0.28955,0.69983
17,-0.10662,-0.57486
17,-0.10662,0.57486
17,0.00699,-0.36377
17,0.00699,0.36377
19,-1.02088,-0.33799
19,-1.02088,0.33799
19,-0.93527,-0.54218
19,-0.93527,0.54218
19,-0.78245,-0.67804
19,-0.78245,0.67804
19,-0.59739,-0.74564
19,-0.59739,0.74564
19,-0.40261,-0.74564
19,-0.40261,0.74564
19,-0.21755,-0.67804
19,-0.21755,0.67804
19,-0.06473,-0.54218
19,-0.06473,0.54218
19,0.02088,-0.33799
19,0.02088,0.33799
21,-1.03064,-0.31601
21,-1.03064,0.31601
21,-0.96663,-0.51161
21,-0.96663,0.51161
21,-0.83900,-0.65226
21,-0.83900,0.65226
21,-0.67717,-0.73672
21,-0.67717,0.73672
21,-0.50000,-0.76486
21,-0.50000,0.76486
21,-0.32283,-0.73672
21,-0.32283,0.73672
21,-0.16100,-0.65226
21,-0.16100,0.65226
21,-0.03337,-0.51161
21,-0.03337,0.51161
21,0.03064,-0.31601
21,0.03064,0.31601
23,-1.03763,-0.29712
23,-1.03763,0.29712
23,-0.99044,-0.48365
23,-0.99044,0.48365
23,-0.88376,-0.62532
23,-0.88376,0.62532
23,-0.74254,-0.72037
23,-0.74254,0.72037
23,-0.58280,-0.76802
23,-0.58280,0.76802
23,-0.41720,-0.76802
23,-0.41720,0.76802
23,-0.25746,-0.72037
23,-0.25746,0.72037
23,-0.11624,-0.62532
23,-0.11624,0.62532
23,-0.00956,-0.48365
23,-0.00956,0.48365
23,0.03763,-0.29712
23,0.03763,0.29712
25,-1.04272,-0.28074
25,-1.04272,0.28074
25,-1.00875,-0.45833
25,-1.00875,0.45833
25,-0.91947,-0.59873
25,-0.91947,0.59873
25,-0.79630,-0.70014
25,-0.79630,0.70014
25,-0.65291,-0.76134
25,-0.65291,0.76134
25,-0.50000,-0.78180
25,-0.50000,0.78180
25,-0.34709,-0.76134
25,-0.34709,0.76134
25,-0.20370,-0.70014
25,-0.20370,0.70014
25,-0.08053,-0.59873
25,-0.08053,0.59873
25,0.00875,-0.45833
25,0.00875,0.45833
25,0.04272,-0.28074
25,0.04272,0.28074
27,-1.04646,-0.26641
27,-1.04646,0.26641
27,-1.02299,-0.43548
27,-1.02299,0.43548
27,-0.94821,-0.57324
27,-0.94821,0.57324
27,-0.84071,-0.67811
27,-0.84071,0.67811
27,-0.71226,-0.74868
27,-0.71226,0.74868
27,-0.57203,-0.78414
27,-0.57203,0.78414
27,-0.42797,-0.78414
27,-0.42797,0.78414
27,-0.28774,-0.74868
27,-0.28774,0.74868
27,-0.15929,-0.67811
27,-0.15929,0.67811
27,-0.05179,-0.57324
27,-0.05179,0.57324
27,0.02299,-0.43548
27,0.02299,0.43548
27,0.04646,-0.26641
27,0.04646,0.26641
29,-1.04922,-0.25378
29,-1.04922,0.25378
29,-1.03418,-0.41487
29,-1.03418,0.41487
29,-0.97152,-0.54920
29,-0.97152,0.54920
29,-0.87759,-0.65557
29,-0.87759,0.65557
29,-0.76261,-0.73248
29,-0.76261,0.73248
29,-0.63448,-0.77897
29,-0.63448,0.77897
29,-0.50000,-0.79452
29,-0.50000,0.79452
29,-0.36552,-0.77897
29,-0.36552,0.77897
29,-0.23739,-0.73248
29,-0.23739,0.73248
29,-0.12241,-0.65557
29,-0.12241,0.65557
29,-0.02848,-0.54920
29,-0.02848,0.54920
29,0.03418,-0.41487
29,0.03418,0.41487
29,0.04922,-0.25378
29,0.04922,0.25378

